PointID, X, Y, Z, Rx, Ry, Rz
1, 0.075518, 0.250522, 0.765275, -1.869780, -1.413704, -1.094692
2, 0.075517, 0.250520, 0.865276, -1.869716, -1.413705, -1.408926
3, 0.075519, 0.350524, 0.865274, 1.271882, -1.413720, 1.732674
4, 0.075518, 0.350521, 0.765275, 1.271869, -1.413723, 2.046839
5, 0.099517, 0.255520, 0.770276, -1.869714, -1.432558, -1.113611
6, 0.099520, 0.255522, 0.860275, -1.869741, -1.432553, -1.390073
7, 0.099517, 0.345524, 0.860273, 1.271893, -1.432566, 1.751505
8, 0.099518, 0.345522, 0.770275, 1.271876, -1.432572, 2.027978
9, 0.123518, 0.260522, 0.775274, -1.869744, -1.451395, -1.132414
10, 0.123518, 0.260520, 0.855276, -1.869774, -1.451413, -1.371188
11, 0.123517, 0.340522, 0.855276, 1.271864, -1.451421, 1.770388
12, 0.123519, 0.340522, 0.775274, 1.271871, -1.451423, 2.009143
13, 0.147516, 0.265522, 0.780277, -1.869718, -1.470250, -1.151287
14, 0.147517, 0.265520, 0.850276, -1.869696, -1.470254, -1.352406
15, 0.147520, 0.335523, 0.850274, 1.271900, -1.470269, 1.789193
16, 0.147516, 0.335521, 0.780276, 1.271852, -1.470272, 1.990314
17, 0.171519, 0.270524, 0.785271, -1.869820, -1.489099, -1.170035
18, 0.171521, 0.270523, 0.845274, -1.869785, -1.489101, -1.333470
19, 0.171517, 0.330522, 0.845276, 1.271865, -1.489122, 1.808080
20, 0.171519, 0.330524, 0.785275, 1.271894, -1.489119, 1.971426
21, 0.195517, 0.275520, 0.790275, -1.869650, -1.507948, -1.189073
22, 0.195517, 0.275522, 0.840275, -1.869812, -1.507953, -1.314585
23, 0.195520, 0.325524, 0.840273, 1.272007, -1.507964, 1.826787
24, 0.195516, 0.325520, 0.790276, 1.271797, -1.507975, 1.952670
